,country,ctyname,ptyid,ptyname,CPARTY,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
52,19,HND,1901,Partido Liberal,,0.897435904,0.711538434,0.017362144,2.320585782,0,2.992114544,48.4375,0.49000001,0.230769232,4.762174129,-1.288476825,-1.155016541,-1.550359607,1.790808082,1.8452214,0.370320886,-0.131853238,1.433600903,0.589743614,0.833333313,0.897435904,0.089182213,0.074226961,0.060662691,0.769230783,0,19.20277778,18.92777778,0.242946178,1356.011069,26,6.991893797,35.15625,0,0.804487169,0.711538434,0.897435904,48.4375,1
53,19,HND,1902,Patido Nacional,,0.846153855,0.745192289,0.017362144,2.320585782,0,2.197224617,42.96875,0.400000006,0.230769232,4.663439274,-1.288476825,-1.155016541,-1.550359607,1.079628706,1.501456857,0.068267204,-0.131853238,1.350488782,0.615384638,0.875,0.846153855,0.08647909,0.06818182,0.074694686,0.730769217,0,8.116666667,8,0.110348061,1356.011069,26,6.991893797,55.46875,1,0.795673072,0.745192289,0.846153855,42.96875,0
57,20,MEX,2004,Partido Verde Ecologico de Mexico,,0.363636374,0.262626261,5.271096706,3.044802027,2.77258873,0,3.8,0.319999993,0.052631579,2.708050251,0.438647926,-0.754889011,0.649199665,-0.886204123,-0.960682571,-0.200224981,-0.825323164,-0.295501947,0.388888896,0.13636364,0.363636374,0.083905295,0.073854893,0.119764075,1,0,6.083333333,0,1.957744598,7834.073299,11,17.68,3.4,0,0.313131332,0.262626261,0.363636374,3.799999952,0
59,21,NIC,2101,Alianza Liberal Nacional,,0.444444448,0.322916687,5.520090103,2.467188068,0,1.568037033,26.08695652,0.100000001,0.166666672,1.098612309,0.520502567,-1.074019074,-1.550359607,0.51670146,0.440270811,-0.938578367,-0.381397307,-1.650280952,0.395833343,0.25,0.444444448,0.084437139,0.081649661,0.098969281,0.590909064,0,3.858333333,3.797222222,0.059316576,1145.783734,18,13.18373072,0,0,0.383680582,0.322916687,0.444444448,26.08695602,0
65,22,PAN,2204,Partido Solidaridad,,0.476190478,0.34523809,0.432909697,3.183726654,2.484906673,0,11.53846154,0.059999999,0.25,2.708050251,-1.15186882,-0.678133488,0.420974761,-0.886204123,-0.474244505,-1.072824478,-0.056990009,-0.295501947,0.333333343,0.357142866,0.476190478,0.136082768,0.099602379,0.17315416,0.666666687,0,1.822222222,0,1.037524581,4599.849256,19,19.54486176,5.63,0,0.388689637,0.372619063,0.404760242,15.3846159,0
67,22,PAN,2206,Partido Liberacion Nacional,,0.333333343,0.400000006,0.432909697,3.183726654,2.484906673,0,3.846153846,0.649999976,0.125,4.653960228,-1.15186882,-0.678133488,0.420974761,-0.886204123,-0.957781374,0.907305062,-0.543600976,1.342509627,0.400000006,0.400000006,0.333333343,0.182574183,0.111803398,0.117851131,0.625,0,5.072222222,0,1.803724647,4599.849256,19,19.54486176,NA,0,0.366666675,0.400000006,0.333333343,3.846153736,0
71,23,PAR,2304,Partido Union Nacional de Ciudadanos Eticos,,0.619047642,0.581349254,2.009405136,2.782185484,1.945910096,0,18.75,0.109999999,0.142857149,1.791759491,-0.633608043,-0.899983883,-0.006623776,-0.886204123,-0.020928703,-0.90501684,-0.474085122,-1.066809416,0.555555582,0.607142866,0.619047642,0.06546203,0.096974522,0.087759331,0.307692319,0,0.383333333,0,0.324496031,1529.472514,16,18.6875,2.5,0,0.600198448,0.581349254,0.619047642,18.75,0
72,23,PAR,2306,Partido Democratico Popular,,0.266666681,0,2.009405136,2.782185484,2.944438934,0,1.25,0.300000012,0,2.944438934,-0.633608043,-0.899983883,0.785532415,-0.886204123,-1.120975018,-0.267347962,-1.030212045,-0.096516691,0,0,0.266666681,0,0,0.074535601,0.5,0,0.383333333,0,0.324496031,1529.472514,16,18.6875,0,0,0.13333334,0,0.266666681,1.25,0
73,23,PAR,2307,Movimiento Popular Tekojoja,,0.266666681,0.141666666,2.009405136,2.782185484,1.098612309,0.320471883,1.25,0.100000001,0.214285716,0.693147182,-0.633608043,-0.899983883,-0.678804874,-0.599481463,-1.120975018,-0.938578367,-0.196021706,-1.991589904,0.083333336,0.200000003,0.266666681,0.096225046,0.136930645,0.074535601,0.5,0,0.383333333,0.377777778,0.00554018,1529.472514,16,18.6875,1.25,0,0.204166681,0.141666666,0.266666681,1.25,0
74,24,PER,2401,Union por el Peru,,0.393939406,0.522727251,5.32910347,3.941570067,1.791759491,0,37.5,0.449999988,0.545454562,2.639057398,0.45771721,-0.259426981,-0.128915042,-0.886204123,1.157692432,0.236074746,1.093181491,-0.35357815,0.454545468,0.590909064,0.393939406,0.053181604,0.095346257,0.103474975,0.090909094,0,0,0,0,2651.611882,7,46.90277778,39.16666667,1,0.458333313,0.522727251,0.393939406,37.5,0
76,24,PER,2403,Unidad Nacional,,0.484848499,0.482575744,5.32910347,3.941570067,1.791759491,0,14.16666667,0.090000004,0.272727281,2.079441547,0.45771721,-0.259426981,-0.128915042,-0.886204123,-0.309036076,-0.972139895,0.031484745,-0.824646831,0.515151501,0.449999988,0.484848499,0.072474308,0.122977465,0.109175049,0.045454547,0,2.463888889,0,1.242391944,2651.611882,7,46.90277778,7.5,0,0.483712137,0.482575744,0.484848499,14.16666698,0
77,24,PER,2404,Alianza por el Futuro,,0.733333349,0.391666651,5.32910347,3.941570067,1.098612309,0,10.83333333,0.050000001,0,0.693147182,0.45771721,-0.259426981,-0.678804874,-0.886204123,-0.518568754,-1.106385946,-1.030212045,-1.991589904,0.333333343,0.449999988,0.733333349,0.104756564,0.14593251,0.070272833,0.150000006,0,2.463888889,0,1.242391944,2651.611882,7,46.90277778,30.83333333,0,0.5625,0.391666651,0.733333349,10.83333302,0
78,24,PER,2405,Frente de Centro,,0.400000006,0.283333361,5.32910347,3.941570067,1.098612309,0,4.166666667,0.050000001,0,0.693147182,0.45771721,-0.259426981,-0.678804874,-0.886204123,-0.937633991,-1.106385946,-1.030212045,-1.991589904,0.266666681,0.300000012,0.400000006,0.087645628,0.140545681,0.114755064,0.200000003,0,0,0,0,2651.611882,7,46.90277778,17.5,0,0.341666698,0.283333361,0.400000006,4.166666508,0
86,27,VEN,2702,Por la Democracia Social,,0.444444448,0.467171729,0.154233113,3.052626196,0,0,8.982035928,0.219999999,0.166666672,1.609437943,-1.243481517,-0.750566125,-1.550359607,-0.886204123,-0.634940922,-0.535840154,-0.381397307,-1.220282435,0.545454562,0.388888896,0.444444448,0.071066909,0.0779512,0.102062069,0.611111104,0,1.813888889,0,1.034567475,5389.561541,40,43.87204522,2.424242424,0,0.455808103,0.467171729,0.444444448,8.982035637,0
87,27,VEN,2703,Patria para Todos,,0.533333361,0.472222209,0.154233113,3.052626196,0,0,6.586826347,0.140000001,0.5,2.397895336,-1.243481517,-0.750566125,-1.550359607,-0.886204123,-0.785503268,-0.804332256,0.91623199,-0.556581497,0.5,0.444444448,0.533333361,0.08017429,0.106229573,0.077689543,0.722222209,0,10.05555556,0,2.402933121,5389.561541,40,43.87204522,1.212121212,0,0.502777815,0.472222209,0.533333361,6.586826324,0
88,27,VEN,2704,Partido Comunista de Venezuela,,0.733333349,0.454545498,0.154233113,3.052626196,0,0,4.790419162,0.930000007,0.583333313,4.343805313,-1.243481517,-0.750566125,-1.550359607,-0.886204123,-0.898425043,1.847027659,1.24063921,1.081429958,0.575757623,0.333333343,0.733333349,0.068164982,0.088388346,0.102104068,0.666666687,0,10.05555556,0,2.402933121,5389.561541,40,43.87204522,0.606060606,0,0.593939424,0.454545498,0.733333349,4.790419102,0
