,country,ctyname,ptyid,ptyname,CPARTY,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
30,14,COL,1405,Polo Democratico Alternativa,COL_ Alternative Democratic Polo Party,0.636363626,0.689393938,3.899597168,5.724240763,1.386294365,0,4.819277108,0.150000006,0.692307711,1.098612309,-0.012221974,0.725493908,-0.450579971,-0.886204123,-0.896611035,-0.770770729,1.664864302,-1.650280952,0.606060624,0.772727251,0.636363626,0.042640146,0.082572281,0.11009638,0.708333313,0,0,0,0,3311.241053,51,30.01824658,2.43902439,0,0.662878752,0.689393938,0.636363626,4.819277287,0
31,14,COL,1406,Convergencia Ciudadana,COL_ Citizen Option Party,0.400000006,0.216666669,3.899597168,5.724240763,2.484906673,0,4.819277108,0.150000006,0.07692308,2.397895336,-0.012221974,0.725493908,0.420974761,-0.886204123,-0.896611035,-0.770770729,-0.730759084,-0.556581497,0.333333343,0.100000001,0.400000006,0.117851131,0.111803398,0.182574183,0.428571433,0,6.494444444,0,2.014162064,3311.241053,51,30.01824658,7.317073171,0,0.308333337,0.216666669,0.400000006,4.819277287,0
27,14,COL,1402,Partido Social Conservador Colombiano,COL_ Colombian Conservative Party,0.861111104,0.819444418,3.899597168,5.724240763,3.178053856,1.609437943,18.07228916,0.400000006,0.230769232,5.0689044,-0.012221974,0.725493908,0.970864594,0.553742409,-0.063529506,0.068267204,-0.131853238,1.691797733,0.805555582,0.833333313,0.861111104,0.051752273,0.074226961,0.051752273,0.666666687,0,26.78611111,4,3.169101954,3311.241053,51,30.01824658,23.17073171,0,0.840277791,0.819444418,0.861111104,18.07228851,0
26,14,COL,1401,Partido Liberal Colombiano,COL_ Colombian Liberal Party,0.805555582,0.909722209,3.899597168,5.724240763,3.178053856,2.833213329,21.08433735,0.400000006,0.07692308,5.075173855,-0.012221974,0.725493908,0.970864594,1.648640871,0.125807241,0.068267204,-0.730759084,1.697075248,0.861111104,0.958333313,0.805555582,0.051752273,0.043519415,0.067192599,0.666666687,1,24.35,16,2.235376358,3311.241053,51,30.01824658,22.56097561,0,0.857638896,0.909722209,0.805555582,21.08433723,0
28,14,COL,1403,Partido de la Unidad,COL_ National Unity Social Party / Party of the U,0.393939406,0.530303001,3.899597168,5.724240763,1.386294365,2.001480103,17.46987952,0.150000006,0.07692308,1.098612309,-0.012221974,0.725493908,-0.450579971,0.904498219,-0.101396836,-0.770770729,-0.730759084,-1.650280952,0.515151501,0.545454562,0.393939406,0.072474308,0.047673129,0.103474975,0.625,0,6.494444444,6.4,0.090246879,3311.241053,51,30.01824658,28.65853659,1,0.462121189,0.530303001,0.393939406,17.46987915,1
29,14,COL,1404,Movimiento Cambio Radical,COL_ Radical Change Party,0.454545468,0.517424226,3.899597168,5.724240763,2.397895336,0,12.04819277,0.150000006,0.07692308,2.302585125,-0.012221974,0.725493908,0.351946652,-0.886204123,-0.442202896,-0.770770729,-0.730759084,-0.636810899,0.484848499,0.550000012,0.454545468,0.072474308,0.052704629,0.108245887,0.600000024,0,6.494444444,0,2.014162064,3311.241053,51,30.01824658,9.146341463,0,0.485984862,0.517424226,0.454545468,12.04819298,0
33,15,CRI,1501,Partido Accion Ciudadana,CRI_ Citizens Action Party,0.288888901,0.558823526,4.166409969,3.38421794,2.197224617,0,29.8245614,0,0.555555582,2.079441547,0.075490676,-0.567362547,0.192749888,-0.886204123,0.67521596,-1.274193525,1.132503629,-0.824646831,0.450980395,0.666666687,0.288888901,0.083026394,0.05882353,0.07428164,0.638888896,0,0,0,0,4607.707652,89,23.04093567,19.29824561,0,0.423856199,0.558823526,0.288888901,29.82456207,0
35,15,CRI,1503,Movimiento Libertario,CRI_ Libertarian Movement Party,0.333333343,0.40196079,4.166409969,3.38421794,2.708050251,0,10.52631579,0,0,2.639057398,0.075490676,-0.567362547,0.597999752,-0.886204123,-0.537867785,-1.274193525,-1.030212045,-0.35357815,0.333333343,0.470588237,0.333333343,0.077951193,0.082331605,0.089087084,0.361111104,0,6.747222222,0,2.047334433,4607.707652,89,23.04093567,15.78947368,0,0.367647052,0.40196079,0.333333343,10.52631569,0
34,15,CRI,1502,Partido Liberacion Nacional,CRI_ National Liberation Party,0.958333313,0.772058845,4.166409969,3.38421794,3.970291853,2.750293493,43.85964912,0,0.055555556,4.043051243,0.075490676,-0.567362547,1.599365473,1.574453354,1.557458639,-1.274193525,-0.813940406,0.828263819,0.627451003,0.916666687,0.958333313,0.087808743,0.046504084,0.029397236,0.555555582,0,14.86388889,14.64722222,0.196114883,4607.707652,89,23.04093567,40.35087719,1,0.865196109,0.772058845,0.958333313,43.85964966,1
36,15,CRI,1504,Partido Unidad Social Cristiana,CRI_ Social Christian Unity Party,0.933333337,0.635620952,4.166409969,3.38421794,3.465735912,2.564949274,8.771929825,0,0.055555556,3.433987141,0.075490676,-0.567362547,1.199089527,1.408627868,-0.648148119,-1.274193525,-0.813940406,0.31557104,0.549019635,0.722222209,0.933333337,0.088099025,0.074664444,0.049943279,0.527777791,0,14.86388889,12,1.351674199,4607.707652,89,23.04093567,10.52631579,0,0.784477115,0.635620952,0.933333337,8.771929741,0
